platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@nhactv3927,2024-03-01T16:24:28Z,trc cũng sài toàn đt to nhất là chọn . từ ngày sài nhỏ và vừa đủ để đi ra ngoài . ở nhà dùng mt bảng suóng gấp 69 lần đt,3
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@nhit7353,2024-03-01T16:19:08Z,Đang dùng 13 mini. Khi đổi sẽ đổi sang pro vậy.,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@congdatt,2024-03-01T16:06:48Z,"Đang xài IP 11, vẫn ổn <a href=""UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red""></a>",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tientran-gu2wf,2024-03-01T15:52:28Z,Tại sao anh ko xài 15pro có đầy đủ tất cả những tiêu chí ạ ?,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@Andrewkbuor,2024-03-01T15:42:00Z,"T thích dòng thương màn vừa đủ hãng nào cũng dòng thương 6,2- 6,4 in vừa đủ",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@sangcr7,2024-03-01T15:17:29Z,Xài ip13 hơn 1 năm thấy vẫn phê ❤❤,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tyvinhnguyen3442,2024-03-01T15:17:27Z,App 1.1 kia chắc để đọc báo nc ngoài à anh Vinh😂😂😂,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@hoangpham9050,2024-03-01T15:12:10Z,cai vong gan o sau ten la gi the a.,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@ThanhLong84,2024-03-01T14:59:26Z,Tôi cũng giống vinh xô thích iphone nhỏ nhưng tôi chọn dòng pro thay vì dòng thường.,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@Callmebull,2024-03-01T14:45:16Z,Thực sự từ 13 dòng thuòng quá ngon.,1
