Platform,Date_Crawl,brand,product_name,current_price,discount_price,discount,sold_quanlity,rating_average,rating_count,time_comment,content_cmt,status,color,capacy
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/12/2023,,,Xanh dương,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/17/2024,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/19/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/10/2023,,,Màu Xanh Lá Cây,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/21/2024,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/19/2024,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/23/2024,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/17/2023,,,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/12/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/24/2024,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/19/2023,,,Xanh dương,128GB
