Platform_x,URL,Date Crawled,Product Title,Current Price,Discounted Price,Rating Average,Rating Count,Platform_y,Customer Name,Time Comment,Content,content_rate
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-fe.html,3/10/2024,Samsung Galaxy S23 FE 5G 8GB 128GB,14.890.000đ,12.890.000đ,4.0/5,1 đánh giá,CellPhones,Ahuan,27/11/2022 09:29,Quan tâm sản phẩm S ultral 23,Quan tâm sản phẩm S ultral 23
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-plus.html,3/10/2024,Samsung Galaxy S23 Plus 8GB 256GB,,,5.0/5,1 đánh giá,CellPhones,Nguyễn hữu thiện thiên,9/10/2023 10:32,Tốt......quá......,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Tốt......quá......"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-plus-512gb.html,3/10/2024,Samsung galaxy S23 Plus 8GB 512GB,,,5.0/5,1 đánh giá,CellPhones,Cao Ngọc Vĩ,9/6/2023 10:08,Sản phẩm rất tốt,Sản phẩm rất tốt
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Ngan,29/2/2024 10:13,"Máy mạnh, chụp ảnh siêu đã đúng là đáng từ đồng","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Máy mạnh, chụp ảnh siêu đã đúng là đáng từ đồng"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Chính Nguyễn Văn,29/11/2023 20:48,Máy ổn. Dùng khá tốt. Tôi rất thích sử dụng máy này,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Máy ổn. Dùng khá tốt. Tôi rất thích sử dụng máy này"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Trinh Nguyen,18/11/2023 21:22,sản phẩm này rất tuyệt,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
sản phẩm này rất tuyệt"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Nguyễn Đắc Đức,6/11/2023 22:15,sản phẩm này quá ok,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
sản phẩm này quá ok"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Phạm Nguyễn Anh Minh,2/11/2023 11:00,"Quá đẹp
Chup hình cực đẹp","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Quá đẹp
Chup hình cực đẹp"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Phạm Nguyễn Anh Minh,2/11/2023 10:59,"Quá tốt
Chụp hình đẹp","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Quá tốt
Chụp hình đẹp"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Vũ Nguyễn Tiến,27/10/2023 09:33,xxxxxxxxxxxxxxxxxxxx,"Hiệu năng Ổn định
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
xxxxxxxxxxxxxxxxxxxx"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Hien Tran,26/10/2023 16:29,S23 ut 32tr cao vãi thà mua ip,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
S23 ut 32tr cao vãi thà mua ip"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,Trần Lê Anh Tuấn,6/10/2023 21:37,Quá đẹp và mãn nhãn,"Hiệu năng Giật lag
Thời lượng pin Rất yếu
Chất lượng camera Chụp không đẹp
Quá đẹp và mãn nhãn"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá,CellPhones,LE THI CHAM,6/10/2023 03:08,Đẹp mà trả góp dễ,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Đẹp mà trả góp dễ"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,3/10/2024,Samsung Galaxy S23 Ultra 12GB 512GB,36.990.000đ,27.990.000đ,5.0/5,2 đánh giá,CellPhones,voduc thanh,11/10/2023 14:49,Nghiệp vụ nhân viên bán hàng rất tôt,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Nghiệp vụ nhân viên bán hàng rất tôt"
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,3/10/2024,Samsung Galaxy S23 Ultra 12GB 512GB,36.990.000đ,27.990.000đ,5.0/5,2 đánh giá,CellPhones,Đức Đỗ,7/9/2023 02:28,Quá xịn trong tầm giá haha,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Quá xịn trong tầm giá haha"
