Platform_x,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count,Platform_y,customer_name,time_comment,content,thank_count,rating
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,myngandoandoan,2024-02-25 07:58 | Phân loại hàng: Green,"Sản phẩm chính hãng, đóng gói cẩn thận chắc chắc em biết sao hong cho anh ha ha",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,quang260594,2023-12-29 22:10 | Phân loại hàng: Pink,"Sản phẩm chính hãng ok, bảo hàng chính hãng không lo, chỉ thấy tốc độ giao hàng cực chậm thôi",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,candytran323,2024-02-25 12:32 | Phân loại hàng: Pink,"Đúng với mô tả: tuyet voi
Chất lượng sản phẩm: tuyet
Tính năng nổi bật: đep
Anh ơi, trái đất vẫn tròn, dẫu trời có sập vẫn còn có em.
Chuyện Của Nắng",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,manhhang6666,2023-12-28 15:12 | Phân loại hàng: Pink,Đã nhận đc hành đúng hành chính hãng. Giao hàng nhanh đóng gói cẩn thận,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,qkcwn_voag,2024-01-30 08:55 | Phân loại hàng: Pink,M đã nhân thank shop,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,danh__,2024-03-08 00:34 | Phân loại hàng: Blue,thái độ tệ,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,huu_tien9,2023-12-27 18:24 | Phân loại hàng: Pink,Ok,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,huu_tien9,2024-01-26 16:34 | Phân loại hàng: Pink,Ok,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,mrquangdang,2023-11-15 21:35 | Phân loại hàng: Green,Ok,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,huu_tien9,2023-12-14 16:04 | Phân loại hàng: Blue,Ok,1,5
