id,sku,Date Crawled,brand_id,brand_name,store,product_name,current_price,discount_price,discount,colors,sold_quanlity,rating_count,rating_average
137864049,4.41081E+12,3/2/2024,112735,Oukitel,xuanhongmobile,"Điện thoại Oukitel K15 Plus(chống sốc,chống va đập,pin 10.000mAh,Ram 4Gb,Rom 32Gb) - hàng chính hãng",4790000,4790000,0,,30,10,4.8
140184098,2.12627E+12,3/2/2024,257333,Vsmart,Hồng Hạnh Mobile,Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính Hãng,1990000,989000,50,[{'label': 'Green/Xanh Lá'}],94,24,4.3
192859201,6.79392E+12,3/2/2024,112735,Oukitel,xuanhongmobile,"Điện thoại Oukitel WP19(chống sốc ,chống nước ,Pin 21000mAh ,Ram 8G ,Rom 256G ,Tầm nhìn ban đêm 64MP ,  Máy ảnh 90Hz ,Điện thoại Helio G95 )-hàng chính hãng",8790000,8790000,0,,3,2,5
129167166,9.65742E+12,3/2/2024,111461,OEM,THẮNG THAO MOBILE,"Điện thoại ITEL A48 2GB/32GB , 6.1"" HD+ , Camera kép - Hàng Chính Hãng",1990000,1359000,32,"[{'label': 'Xanh lá'}, {'label': 'Đen'}]",77,11,4.5
197966909,7.19006E+12,3/2/2024,18802,Samsung,Hồng Hạnh Mobile,Điện Thoại Samsung A04s 4GB/64GB - Hàng Chính Hãng,3990000,2679000,33,"[{'label': 'Xanh Dương Xỉ'}, {'label': 'Đen Tinh Vân'}, {'label': 'Đồng Ánh Hồng'}]",84,19,4.8
247730209,4.24811E+12,3/2/2024,18802,Samsung,GIA DỤNG VIỆT,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,7164000,7164000,0,"[{'label': 'Bạc'}, {'label': 'Xanh'}, {'label': 'Đen'}]",3,0,0
155833852,4.81126E+12,3/2/2024,112638,Masstel,Hồng Hạnh Mobile,Điện Thoại Masstel Hapi 30 3GB/32GB - Hàng Chính Hãng,2390000,1879000,21,[{'label': 'Blue/Xanh'}],6,2,5
143359355,7.49475E+12,3/2/2024,162007,Tecno,Hồng Hạnh Mobile,Điện Thoại Tecno Spark 6 Go 4GB/64GB - Hàng Chính Hãng,2990000,2079000,30,"[{'label': 'Aqua Blue/Xanh Nước Biển'}, {'label': 'Galaxy Blue/Xanh Đại Dương'}, {'label': 'Ice Jadeite/Băng Cẩm Thạch'}]",29,13,4.8
262516014,3.68186E+12,3/2/2024,18802,Samsung,GIA DỤNG VIỆT,Điện Thoại Samsung Galaxy A34 5G - Hàng Chính Hãng,7164000,7164000,0,[{'label': '8GB/128GB'}],,0,0
158895857,3.2518E+12,3/2/2024,52232,Vivo,Long Hưng TechZone,Điện thoại Vivo Y33s (8GB/128GB) - Hàng chính hãng,6069000,6069000,0,[{'label': 'Đen'}],4,1,5
195323206,5.14656E+12,3/2/2024,52232,Vivo,vivo Official Store,Điện thoại vivo Y22s (8GB - 128GB) - Hàng Chính Hãng,5990000,4690000,22,"[{'label': 'Xanh vàng'}, {'label': 'Xanh đen'}]",4,2,5
254125720,4.1152E+12,3/2/2024,112735,Oukitel,xuanhongmobile,"Điện thoại oukitel WP22 (Loa to,Chống nước ,chống sốc IP68/IP69K,Ram 13Gb(8GB+5Gb mở rộng),Rom 256Gb,Màn hình 6.58 FHD,tầm nhìn ban đêm,Pin 10.000mAh)- Hàng chính hãng",5990000,5990000,0,,2,0,0
